|ID|name
653|13020_AM|Argamasilla de Calatrava agregacion de municipios
654|13023|Bolaños de Calatrava
655|13027|Calzada de Calatrava
656|13028_AM|Campo de Criptana agregacion de municipios
657|13031|Carrión de Calatrava
658|13033_AM|Castellar de Santiago agregacion de municipios
659|13034|Ciudad Real
660|13038_AM|Chillón agregacion de municipios
661|13039|Daimiel
662|13042_AM|Fuencaliente agregacion de municipios
663|13044_AM|Fuente el Fresno agregacion de municipios
664|13047|Herencia
665|13052|Malagón
666|13053_AM|Manzanares agregacion de municipios
667|13054|Membrilla
668|13056|Miguelturra
669|13058|Moral de Calatrava
670|13061|Pedro Muñoz
671|13063_AM|Piedrabuena agregacion de municipios
672|13064|Poblete
673|13065_AM|Porzuna agregacion de municipios
674|13066|Pozuelo de Calatrava
675|13068_AM|Puebla de Don Rodrigo agregacion de municipios
676|13071|Puertollano
677|13077|Santa Cruz de Mudela
678|13078|Socuéllamos
679|13079|Solana, La
680|13082|Tomelloso
681|13083_AM|Torralba de Calatrava agregacion de municipios
682|13085|Torrenueva
683|13087|Valdepeñas
684|13089_AM|Villahermosa agregacion de municipios
685|13092_AM|Villanueva de la Fuente agregacion de municipios
686|13093_AM|Villanueva de los Infantes agregacion de municipios
687|13096|Villarrubia de los Ojos
688|13097_AM|Villarta de San Juan agregacion de municipios
689|13098_AM|Viso del Marqués agregacion de municipios
690|14001|Adamuz
691|14002|Aguilar de la Frontera
692|14004_AM|Almedinilla agregacion de municipios
693|14005_AM|Almodóvar del Río agregacion de municipios
694|14007_AM|Baena agregacion de municipios
695|14008|Belalcázar
696|14009|Belmez
697|14010|Benamejí
698|14012|Bujalance
699|14013|Cabra
700|14014|Cañete de las Torres
701|14017|Carlota, La
702|14018|Carpio, El
703|14019|Castro del Río
704|14021|Córdoba
705|14022_AM|Doña Mencía agregacion de municipios
706|14023_AM|Dos Torres agregacion de municipios
707|14024_AM|Encinas Reales agregacion de municipios
708|14025|Espejo
709|14026_AM|Espiel agregacion de municipios
710|14027|Fernán-Núñez
711|14029_AM|Fuente Obejuna agregacion de municipios
712|14030_AM|Fuente Palmera agregacion de municipios
713|14035|Hinojosa del Duque
714|14036|Hornachuelos
715|14037|Iznájar
716|14038|Lucena
717|14039_AM|Luque agregacion de municipios
718|14040|Montalbán de Córdoba
719|14041|Montemayor
720|14042|Montilla
721|14043_AM|Montoro agregacion de municipios
722|14045_AM|Moriles agregacion de municipios
723|14046|Nueva Carteya
724|14049|Palma del Río
725|14050|Pedro Abad
726|14051_AM|Pedroche agregacion de municipios
727|14052|Peñarroya-Pueblonuevo
728|14053|Posadas
729|14054|Pozoblanco
730|14055|Priego de Córdoba
731|14056|Puente Genil
732|14057|Rambla, La
733|14058|Rute
734|14060_AM|Santaella agregacion de municipios
735|14065_AM|Victoria, La agregacion de municipios
736|14066|Villa del Río
737|14067|Villafranca de Córdoba
738|14069|Villanueva de Córdoba
739|14070_AM|Villanueva del Duque agregacion de municipios
740|14073|Villaviciosa de Córdoba
741|14074_AM|Viso, El agregacion de municipios
742|15001|Abegondo
743|15002|Ames
744|15004|Ares
745|15005|Arteixo
746|15006_AM|Arzúa agregacion de municipios
747|15007|Baña, A
748|15008|Bergondo
749|15009|Betanzos
750|15010_AM|Boimorto agregacion de municipios
751|15011|Boiro
752|15012|Boqueixón
753|15013|Brión
754|15014|Cabana de Bergantiños
755|15015|Cabanas
756|15016|Camariñas
757|15017|Cambre
758|15019|Carballo
759|15020|Carnota
760|15021|Carral
761|15022_AM|Cedeira agregacion de municipios
762|15023_AM|Cee agregacion de municipios
763|15024|Cerceda
764|15029|Coristanco
765|15030|Coruña, A
766|15031|Culleredo
767|15032_AM|Curtis agregacion de municipios
768|15033|Dodro
769|15034|Dumbría
770|15035|Fene
771|15036|Ferrol
772|15037|Fisterra
773|15040|Laxe
774|15041|Laracha, A
775|15042|Lousame
776|15043|Malpica de Bergantiños
777|15045|Mazaricos
778|15046|Melide
779|15047_AM|Mesía agregacion de municipios
780|15048|Miño
781|15050_AM|Monfero agregacion de municipios
782|15051|Mugardos
783|15052|Muxía
784|15053|Muros
785|15054|Narón
786|15055|Neda
787|15056|Negreira
788|15057|Noia
789|15058|Oleiros
790|15059|Ordes
791|15060|Oroso
792|15061|Ortigueira
793|15062|Outes
794|15064_AM|Paderne agregacion de municipios
795|15065|Padrón
796|15066|Pino, O
797|15067|Pobra do Caramiñal, A
798|15068|Ponteceso
799|15069|Pontedeume
800|15070_AM|Pontes de García Rodríguez, As agregacion de municipios
801|15071|Porto do Son
802|15072|Rianxo
803|15073|Ribeira
804|15074|Rois
805|15075|Sada
806|15076|San Sadurniño
807|15077|Santa Comba
808|15078|Santiago de Compostela
809|15082|Teo
810|15084|Tordoia
811|15085|Touro
812|15086|Trazo
813|15087|Valdoviño
814|15088|Val do Dubra
815|15089|Vedra
816|15092|Vimianzo
817|15093|Zas
818|15901_AM|Cariño agregacion de municipios
819|15902|Oza-Cesuras
820|16023_AM|Chillarón de Cuenca agregacion de municipios
821|16027_AM|Barajas de Melo agregacion de municipios
822|16042_AM|Campillo de Altobuey agregacion de municipios
823|16066|Casasimarro
824|16078|Cuenca
825|16102_AM|Honrubia agregacion de municipios
