Codigo;Provincia;distrito;name;poblacion;fecha;edad;sexo;numero_viajes;personas
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;0-25;mujer;0;232588.94
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;0-25;mujer;1;33759.784
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;0-25;mujer;2;186208.7730000001
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;0-25;mujer;2+;451558.335
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;25-45;hombre;0;203904.446
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;25-45;hombre;1;31066.496
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;25-45;hombre;2;186552.281
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;25-45;hombre;2+;477390.4990000001
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;25-45;mujer;0;194116.165
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;25-45;mujer;1;32871.742
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;25-45;mujer;2;205985.454
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;25-45;mujer;2+;530482.6149999999
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;45-65;hombre;0;200958.995
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;45-65;hombre;1;31923.625
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;45-65;hombre;2;201387.878
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;45-65;hombre;2+;523213.7300000001
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;45-65;mujer;0;215360.5019999999
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;45-65;mujer;1;37850.886
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;45-65;mujer;2;229531.839
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;45-65;mujer;2+;595065.6780000001
