station_id;station_name;stop_lon;stop_lat;state;capacity;transport_mode
202;Parque de Santander;-3.7083;40.4413;IN_SERVICE    ;27;bicimad             
203;General Ampudia;-3.7144722;40.44175;IN_SERVICE    ;24;bicimad             
204;Doctor Santero;-3.7040397;40.4476488;IN_SERVICE    ;23;bicimad             
205;Metro Estrecho;-3.7032777;40.4535;IN_SERVICE    ;23;bicimad             
206;Metro Tetuán;-3.69895;40.46088;IN_SERVICE    ;23;bicimad             
207;Plaza de la Remonta;-3.6973352;40.4630443;IN_SERVICE    ;19;bicimad             
208;Intercambiador de Plaza de Castilla;-3.6890611;40.4662811;IN_SERVICE    ;18;bicimad             
209;Plaza de Castilla;-3.6887;40.4657;IN_SERVICE    ;23;bicimad             
210;Calle de las Tres Cruces;-3.7027164;40.4196518;IN_SERVICE    ;27;bicimad             
211;Desengaño;-3.70239;40.42059;IN_SERVICE    ;23;bicimad             
212;Metro Marqués de Vadillo;-3.716591;40.398247;IN_SERVICE    ;27;bicimad             
213;Glorieta de Cádiz;-3.7002247;40.3889918;IN_SERVICE    ;23;bicimad             
214;Condesa de Venadito;-3.6569031;40.4434316;IN_SERVICE    ;24;bicimad             
215;Gutierre de Cetina;-3.6408093;40.429588;IN_SERVICE    ;23;bicimad             
216;Plaza de Puerta del Ángel;-3.72897;40.4141;IN_SERVICE    ;27;bicimad             
217;Hospital Universitario La Paz;-3.6890758;40.480884;IN_SERVICE    ;23;bicimad             
218;Camino de los Vinateros A;-3.6572967;40.4105478;IN_SERVICE    ;23;bicimad             
219;Camino de los Vinateros B;-3.6467338;40.4083593;IN_SERVICE    ;18;bicimad             
220;Plaza del Encuentro;-3.651384;40.406156;IN_SERVICE    ;24;bicimad             
221;Metro Pavones;-3.634744479;40.40049203;IN_SERVICE    ;23;bicimad             
222;Eugenio Caxes;-3.7026789;40.3917871;IN_SERVICE    ;23;bicimad             
223;Ermita del Santo;-3.724576;40.406448;IN_SERVICE    ;27;bicimad             
224;Parque de Caramuel;-3.7287;40.409;IN_SERVICE    ;27;bicimad             
225;Sierra Toledana;-3.660345;40.402506;IN_SERVICE    ;24;bicimad             
226;Sierra Toledana;-3.660776868;40.39901532;IN_SERVICE    ;23;bicimad             
227;Arroyo del Olivar;-3.665936243;40.39382978;IN_SERVICE    ;24;bicimad             
228;San Delfín;-3.708042973;40.39440608;IN_SERVICE    ;18;bicimad             
229;Centro Deportivo Municipal Concepción;-3.6486508;40.4369378;IN_SERVICE    ;23;bicimad             
230;Carlota O´Neill;-3.6488254;40.4436792;IN_SERVICE    ;24;bicimad             
231;Derechos Humanos;-3.6557193;40.4398283;IN_SERVICE    ;24;bicimad             
232;José María de Pereda;-3.6486169;40.4327663;IN_SERVICE    ;27;bicimad             
233;El dragón de La Elipa;-3.6555789;40.4229522;IN_SERVICE    ;24;bicimad             
234;Metro La Elipa;-3.6510917;40.4261278;IN_SERVICE    ;24;bicimad             
235;Sodio;-3.691076;40.389041;IN_SERVICE    ;23;bicimad             
236;Paseo Imperial;-3.7170785;40.4075794;IN_SERVICE    ;27;bicimad             
238;San Germán, 5;-3.6932611;40.4561825;IN_SERVICE    ;24;bicimad             
239;Francos Rodríguez;-3.7078331;40.4567132;IN_SERVICE    ;23;bicimad             
240;Brasilia;-3.66096;40.43666;IN_SERVICE    ;23;bicimad             
241;Camilo José Cela;-3.66779;40.4378;IN_SERVICE    ;23;bicimad             
242;Metro Parque de las Avenidas;-3.662928;40.439513;IN_SERVICE    ;23;bicimad             
243;Cartagena;-3.67012;40.43503;IN_SERVICE    ;23;bicimad             
244;Hospital Clínico San Carlos;-3.71757;40.44003;IN_SERVICE    ;23;bicimad             
245;Galileo;-3.7101381;40.4363637;IN_SERVICE    ;24;bicimad             
246;Metro Iglesia;-3.699248472;40.43595788;IN_SERVICE    ;27;bicimad             
247;Zurbano;-3.69281;40.43837;IN_SERVICE    ;23;bicimad             
248;Sinesio Delgado;-3.6879973;40.4743209;IN_SERVICE    ;27;bicimad             
249;Castellana;-3.685419183;40.47645879;IN_SERVICE    ;24;bicimad             
250;Serrano;-3.6858096;40.4406491;IN_SERVICE    ;27;bicimad             
251;Santa Hortensia;-3.66683;40.44421;IN_SERVICE    ;23;bicimad             
252;Est. tren Chamartín;-3.6839695;40.4717403;IN_SERVICE    ;23;bicimad             
253;Doctor Fleming;-3.68844;40.45546;IN_SERVICE    ;19;bicimad             
254;Plaza del Perú;-3.67656;40.461;IN_SERVICE    ;23;bicimad             
255;General López Pozas;-3.685292;40.46361;IN_SERVICE    ;23;bicimad             
256;Reina Victoria;-3.71383;40.44635;IN_SERVICE    ;23;bicimad             
257;Ciudad Universitaria;-3.730527;40.438873;IN_SERVICE    ;23;bicimad             
258;Metro Ciudad Universitaria A;-3.726939;40.444311;IN_SERVICE    ;24;bicimad             
259;Metro Ciudad Universitaria B;-3.726752004;40.44270528;IN_SERVICE    ;19;bicimad             
260;Ciudad Universitaria;-3.7272945;40.4483322;IN_SERVICE    ;24;bicimad             
261;Ciudad Universitaria;-3.7296756;40.4505516;IN_SERVICE    ;23;bicimad             
384;Metro Usera;-3.7061449;40.38707469;IN_SERVICE    ;23;bicimad             
388;Estación tren;-3.70041478;40.37837955;IN_SERVICE    ;23;bicimad             
385;Estación de tren Orcasitas;-3.70388671;40.36721104;IN_SERVICE    ;23;bicimad             
387;Isabelita Usera, 44;-3.70773972;40.38272256;IN_SERVICE    ;23;bicimad             
383;Metro San Fermín-Orcasur;-3.6939702;40.3700017;IN_SERVICE    ;23;bicimad             
386;Avenida de los Poblados, 130;-3.71331521;40.37347443;IN_SERVICE    ;23;bicimad             
476;Metro Avenida de la Paz;-3.662016;40.453493;IN_SERVICE    ;23;bicimad             
477;Metro Ciudad Lineal;-3.638904;40.438278;IN_SERVICE    ;23;bicimad             
478;José del Hierro;-3.6410572;40.44152084;IN_SERVICE    ;23;bicimad             
479;Metro Arturo Soria;-3.655837131;40.45478362;IN_SERVICE    ;27;bicimad             
480;Vicente Muzas;-3.66044255;40.45903315;IN_SERVICE    ;23;bicimad             
481;Diego Ayllón;-3.65219063;40.45117857;IN_SERVICE    ;23;bicimad             
554;Metro El Capricho;-3.5941;40.453;IN_SERVICE    ;27;bicimad             
284;Avenida de Burgos, 17;-3.675790029;40.47359388;IN_SERVICE    ;23;bicimad             
482;Metro Pueblo Nuevo;-3.6423386;40.4356873;IN_SERVICE    ;23;bicimad             
483;Marcelino Álvarez;-3.6534324;40.4297428;IN_SERVICE    ;23;bicimad             
484;Metro García Noblejas;-3.632389;40.42893071;IN_SERVICE    ;23;bicimad             
523;Carretera de Canillas;-3.65089253;40.4628701;IN_SERVICE    ;23;bicimad             
285;Santa María Magdalena;-3.6706;40.4631;IN_SERVICE    ;23;bicimad             
286;Plaza Duque de Pastrana ;-3.6779;40.4679;IN_SERVICE    ;23;bicimad             
287;Metro Bambú;-3.6762;40.4765;IN_SERVICE    ;23;bicimad             
288;Caídos de la División Azul;-3.6723;40.4664;IN_SERVICE    ;23;bicimad             
524;Glorieta Luis Rosales;-3.6543;40.4673;IN_SERVICE    ;23;bicimad             
460;Fuente Carrantona;-3.63192261;40.4070216;IN_SERVICE    ;27;bicimad             
455;Luis de Hoyos Sainz,  198;-3.62927465;40.400094;IN_SERVICE    ;23;bicimad             
456;Encomienda de Palacios, 8;-3.6464;40.4005;IN_SERVICE    ;23;bicimad             
